section,id,name,msx,md_suggested,w_tiles,h_tiles,palette,max_colors,anim_frames,file,notes
B_pattern,16,plane,pat 16 16x16 1-bit,"2x2 tiles (16x16 px), 4bpp",2,2,PAL2,15+trans,1,res/md/sprites/enemy.png,Type 44 ground structure sprite + type 64 proto. Type 35 pool can pick pat 16.
B_pattern,17,plane_compl,pat 17 16x16 1-bit,fold into primary (no file),,,—,,1,,Complement of plane. Type 39 col-marker. Fold into plane.
B_pattern,18,loga_A,pat 18 16x16 1-bit,"2x2 tiles (16x16 px), 4bpp",2,2,PAL2,15+trans,2,res/md/sprites/loga.png,"Opener enemy, 2-frame set in pattern table (18/20). Types 46-55 ground-guns use SAT 0x48 = pat 18. Runtime animation: unknown (handler does not document bit2 anim)."
B_pattern,19,loga_A_compl,pat 19 16x16 1-bit,fold into primary (no file),,,—,,2,,Complement of loga_A. Fold into loga.
B_pattern,20,loga_B,pat 20 16x16 1-bit,"2x2 tiles (16x16 px), 4bpp",2,2,PAL2,15+trans,2,res/md/sprites/loga.png,Second loga frame in pattern table. Runtime use: unknown.
B_pattern,21,loga_B_compl,pat 21 16x16 1-bit,fold into primary (no file),,,—,,2,,Complement of loga_B. Fold into loga.
B_pattern,22,duster,pat 22 16x16 1-bit,"2x2 tiles (16x16 px), 4bpp",2,2,PAL2,15+trans,1,res/md/sprites/duster.png,"Type 10. SAT 0x58, color 0x89. Meteor-like."
B_pattern,23,duster_compl,pat 23 16x16 1-bit,fold into primary (no file),,,—,,1,,Complement. Type 39. Fold into duster.
B_pattern,24,teruzo,pat 24 16x16 1-bit,"2x2 tiles (16x16 px), 4bpp",2,2,PAL2,15+trans,1,res/md/sprites/teruzo.png,Types 12-15. SAT 0x60 hardcoded. Colors 0x8A (lower) / 0x89 (upper). Type 35 pool can pick pat 24.
B_pattern,25,teruzo_compl,pat 25 16x16 1-bit,fold into primary (no file),,,—,,1,,Complement SAT 0x64. Fold into teruzo.
B_pattern,26,sig_triple,pat 26 16x16 1-bit,"2x2 tiles (16x16 px), 4bpp",2,2,PAL2,15+trans,1,res/md/sprites/sig.png,Sprite-names: sig triple. Type 58 paired descender B uses SAT 0x68 = pat 26.
B_pattern,27,sig_double,pat 27 16x16 1-bit,"2x2 tiles (16x16 px), 4bpp",2,2,PAL2,15+trans,1,res/md/sprites/sig.png,Sprite-names: sig double. Type 57 paired descender A uses SAT 0x6C = pat 27.
B_pattern,28,sig_single,pat 28 16x16 1-bit,"2x2 tiles (16x16 px), 4bpp",2,2,PAL1,15+trans,1,res/md/sprites/sig.png,"Type 56 falling pickup/missile, color XOR 0x09 (0x86↔0x8F). Type 59 sideways also SAT 0x70 = pat 28."
B_pattern,29,luster_A,pat 29 16x16 1-bit,"2x2 tiles (16x16 px), 4bpp",2,2,PAL2,15+trans,2,res/md/sprites/luster.png,"Type 18. SAT 0x74, color 0x8B. 2-frame set exists (29/30); types pick one variant, bit2 anim not documented."
B_pattern,30,luster_B,pat 30 16x16 1-bit,"2x2 tiles (16x16 px), 4bpp",2,2,PAL2,15+trans,2,res/md/sprites/luster.png,"Types 16/17. SAT 0x78, color 0x8E. Tank-like."
B_pattern,31,luster_A_compl,pat 31 16x16 1-bit,fold into primary (no file),,,—,,2,,Complement of luster_A. Fold into luster.
B_pattern,32,luster_B_compl,pat 32 16x16 1-bit,fold into primary (no file),,,—,,2,,Complement of luster_B. Fold into luster.
B_pattern,33,veybar_0,pat 33 16x16 1-bit,"3x3 tiles (24x24 px), 4bpp",3,3,PAL2,15+trans,5,res/md/sprites/veybar.png,Glider. Types 22-25 use SAT 0x84 = pat 33 only. 5 primary frames exist (33-37); runtime cycle: unknown.
B_pattern,34,veybar_1,pat 34 16x16 1-bit,"3x3 tiles (24x24 px), 4bpp",3,3,PAL2,15+trans,5,res/md/sprites/veybar.png,Frame 1 of 5 in pattern table. Handler use: unknown.
B_pattern,35,veybar_2,pat 35 16x16 1-bit,"3x3 tiles (24x24 px), 4bpp",3,3,PAL2,15+trans,5,res/md/sprites/veybar.png,Frame 2 of 5. Handler use: unknown.
B_pattern,36,veybar_3,pat 36 16x16 1-bit,"3x3 tiles (24x24 px), 4bpp",3,3,PAL2,15+trans,5,res/md/sprites/veybar.png,Frame 3 of 5. Handler use: unknown.
B_pattern,37,veybar_4,pat 37 16x16 1-bit,"3x3 tiles (24x24 px), 4bpp",3,3,PAL2,15+trans,5,res/md/sprites/veybar.png,Frame 4 of 5. Handler use: unknown.
B_pattern,38,veybar_0_compl,pat 38 16x16 1-bit,fold into primary (no file),,,—,,5,,Complement of veybar_0 (SAT 0x98). Fold into veybar.
B_pattern,39,veybar_1_compl,pat 39 16x16 1-bit,fold into primary (no file),,,—,,5,,Fold into veybar.
B_pattern,40,veybar_2_compl,pat 40 16x16 1-bit,fold into primary (no file),,,—,,5,,Fold into veybar.
B_pattern,41,veybar_3_compl,pat 41 16x16 1-bit,fold into primary (no file),,,—,,5,,Fold into veybar.
B_pattern,42,veybar_4_compl,pat 42 16x16 1-bit,fold into primary (no file),,,—,,5,,Fold into veybar.
B_pattern,43,spinner_0,pat 43 16x16 1-bit,"2x2 tiles (16x16 px), 4bpp",2,2,PAL2,15+trans,4,res/md/sprites/spinner.png,"Edge-swooper / spinner. Types 26-29. Anim table CONFIRMED 4 frames pats 43,44,45,46 (edge_swooper_a_anim 0x7E68 / b 0x7E70). Color 0x8E (A) or 0x87 (B)."
B_pattern,44,spinner_1,pat 44 16x16 1-bit,"2x2 tiles (16x16 px), 4bpp",2,2,PAL2,15+trans,4,res/md/sprites/spinner.png,Frame 1. Confirmed in anim tables.
B_pattern,45,spinner_2,pat 45 16x16 1-bit,"2x2 tiles (16x16 px), 4bpp",2,2,PAL2,15+trans,4,res/md/sprites/spinner.png,"Frame 2. Confirmed in anim tables (entity-sprite-mapping once listed 46 as frame 2 — tables are 43,44,45,46)."
B_pattern,46,spinner_3,pat 46 16x16 1-bit,"2x2 tiles (16x16 px), 4bpp",2,2,PAL2,15+trans,4,res/md/sprites/spinner.png,Frame 3. Confirmed.
B_pattern,47,spinner_0_compl,pat 47 16x16 1-bit,fold into primary (no file),,,—,,4,,Complement = sat_name+0x10 (pat 47). Fold into spinner.
B_pattern,48,spinner_1_compl,pat 48 16x16 1-bit,fold into primary (no file),,,—,,4,,Fold into spinner.
B_pattern,49,spinner_2_compl,pat 49 16x16 1-bit,fold into primary (no file),,,—,,4,,Fold into spinner.
B_pattern,50,spinner_3_compl,pat 50 16x16 1-bit,fold into primary (no file),,,—,,4,,Fold into spinner.
B_pattern,51,stealth,pat 51 16x16 1-bit,"2x2 tiles (16x16 px), 4bpp",2,2,PAL2,15+trans,1,res/md/sprites/stealth.png,"Types 31/33 tracker and 34/65/66 stationary. SAT 0xCC, color 0x88 (type 65 override 0x85)."
B_pattern,52,stealth_compl,pat 52 16x16 1-bit,fold into primary (no file),,,—,,1,,Complement SAT 0xD0. Fold into stealth. Also appears as skipped frame 0 of type-35 anim table (never shown).
B_pattern,53,box,pat 53 16x16 1-bit,"2x2 tiles (16x16 px), 4bpp",2,2,PAL1,15+trans,1,res/md/sprites/box.png,Types 4-6. SAT 0xD4 after countdown. Type 4 drops 3× type-38; 5 drops nothing; 6 drops type 63.
B_pattern,54,box_compl,pat 54 16x16 1-bit,fold into primary (no file),,,—,,1,,Complement SAT 0xD8. Fold into box.
B_pattern,55,umber_A,pat 55 16x16 1-bit,"3x3 tiles (24x24 px), 4bpp",3,3,PAL2,15+trans,2,res/md/sprites/umber.png,"Types 7/8. SAT 0xDC. Type 7 white 0x8F bursts 7× type-38; type 8 light-red 0x8B bursts 2× type-41. Squid-like. 2-frame set exists; handler uses A or B as variants, not a confirmed cycle."
B_pattern,56,umber_B,pat 56 16x16 1-bit,"3x3 tiles (24x24 px), 4bpp",3,3,PAL2,15+trans,2,res/md/sprites/umber.png,"Type 9. SAT 0xE0, cyan 0x83. Timer spawns type 20."
B_pattern,57,umber_A_compl,pat 57 16x16 1-bit,fold into primary (no file),,,—,,2,,Complement SAT 0xE4. Fold into umber.
B_pattern,58,umber_B_compl,pat 58 16x16 1-bit,fold into primary (no file),,,—,,2,,Complement SAT 0xE8. Fold into umber.
B_pattern,59,degid_left,pat 59 16x16 1-bit,"2x2 tiles (16x16 px), 4bpp",2,2,PAL2,15+trans,1,res/md/sprites/degid.png,Sprite-names: degid left. Types 30/32 ground swooper SAT 0xEC = pat 59.
B_pattern,60,degid_right,pat 60 16x16 1-bit,"2x2 tiles (16x16 px), 4bpp",2,2,PAL2,15+trans,1,res/md/sprites/degid.png,Sprite-names: degid right. Entity type that uses pat 60: unknown.
B_pattern,61,degid_complete,pat 61 16x16 1-bit,"2x2 tiles (16x16 px), 4bpp",2,2,PAL2,15+trans,1,res/md/sprites/degid.png,Sprite-names: degid complete. Entity type that uses pat 61: unknown.
B_pattern,62,sart,pat 62 16x16 1-bit,"4x4 tiles (32x32 px), 4bpp",4,4,PAL2,15+trans,1,res/md/sprites/sart.png,"Type 61 large descender. SAT 0xF8, color from large_descender_color_table (8 TMS colors cycling). Largest named pattern index."
B_pattern,63,sart_compl,pat 63 16x16 1-bit,fold into primary (no file),,,—,,1,,Complement of sart. Fold into sart.
B_entity,1,player_ship,pat 14,2x2 (MD MAY 3x3/4x4),,,PAL2,15+trans,1 + i-frame color flash,,Slot 0. SAT 0x38. Color 0x8F / 0x81 invuln 64 frames. Complement pat 15 unused. Port: spr_ship PAL2.
B_entity,2,shot,pat 10/11/12,2x2,,,PAL1,15+trans,3 power looks (not frames),,SAT from E10F via shot_power_table: 0x28/0x2C/0x30. Cap 2 or 3 on screen. SFX event = 3+(E10F>>2) → 13/14/15.
B_entity,3,fire_weapon,pat 3 / 4 / 9 / varies,2x2,,,PAL1,15+trans,see fire 0-7,,All 8 fire types in slot 4. Fire 0: pat 3 color-cycle. Fire 3/4: pat 4. Fire 6: no persistent entity. Fire 1/5/7 exact pattern: unknown (KB: color cycle / varies).
B_entity,4-6,box,pat 53,2x2,,,PAL1,15+trans,countdown then reveal,,"SAT_NAME countdown then 0xD4. Complement 54. Drop by type: 4→3× type38, 5→none, 6→type63."
B_entity,7-8,umber_A,pat 55,3x3,,,PAL2,15+trans,2 variants in set; not confirmed cycle,,SAT 0xDC. Type 7 color 0x8F burst 7×38; type 8 color 0x8B burst 2×41. Complement 57.
B_entity,9,umber_B,pat 56,3x3,,,PAL2,15+trans,variant B,,SAT 0xE0 color 0x83. Spawns type 20 on timer. Complement 58.
B_entity,10,duster,pat 22,2x2,,,PAL2,15+trans,1,,SAT 0x58 color 0x89. Complement 23.
B_entity,11,base_spawner,pat 10 then type→69,—,,,—,—,transient,,Init writes shot_single then becomes type 69. No unique art.
B_entity,12-15,teruzo,pat 24,2x2,,,PAL2,15+trans,1,,SAT 0x60 hardcoded. 12/13 lower Y=112 color 0x8A; 14/15 upper Y=32 color 0x89. Complement 25.
B_entity,16-17,luster_B,pat 30,2x2,,,PAL2,15+trans,variant B,,SAT 0x78 color 0x8E. 16 = Y-fall; 17 = homing.
B_entity,18,luster_A,pat 29,2x2,,,PAL2,15+trans,variant A,,SAT 0x74 color 0x8B.
B_entity,19,fire_expire,pat 9 then type→3,2x2,,,PAL1,15+trans,transient,,"First frame pat 9 color 0x80, then type 0x83 (dispatches as type 3). Not an enemy."
B_entity,20,lead_homing,pat 7,1x1 or 2x2,,,PAL2,15+trans,1,,SAT 0x1C. Spawned by type 9.
B_entity,21,light_bar,pat 6,2x1 or 2x2,,,PAL2,15+trans,1,,SAT 0x18 color 0x84/0x85.
B_entity,22-23,veybar,pat 33,3x3,,,PAL2,15+trans,5 exist; handler uses 33 only,,SAT 0x84 color 0x83. Complement 38. Y-homing.
B_entity,24-25,veybar_fast,pat 33,3x3,,,PAL2,15+trans,same as 22-23,,SAT 0x84 color 0x89. Full homing.
B_entity,26-27,edge_swooper_A,pat 43-46,2x2,,,PAL2,15+trans,4 CONFIRMED,,Table 0x7E68 color 0x8E. Complement sat_name+0x10.
B_entity,28-29,edge_swooper_B,pat 43-46,2x2,,,PAL2,15+trans,4 CONFIRMED,,Table 0x7E70 color 0x87.
B_entity,30/32,ground_swooper,pat 59,2x2,,,PAL2,15+trans,1,,SAT 0xEC = degid_left. Sprite-names degid right/complete (60/61) unused by this handler.
B_entity,31/33,stealth_tracker,pat 51,2x2,,,PAL2,15+trans,1,,SAT 0xCC color 0x88. Complement 52. Tracks player Y then X.
B_entity,34/65/66,stealth_stationary,pat 51,2x2,,,PAL2,15+trans,1,,Same sprite; 3-shot bursts. Type 65 color override 0x85.
B_entity,35,enemy_projectile,pat 7/8/9/16/24,2x2,,,PAL2,15+trans,6-frame pulse CONFIRMED,,Init pattern from E141. Then table 0x84D1 tick_rate=4: (skip) lead→med→lg→med→lead. NOT a base-eye.
B_entity,36,flashing_bolt,pat 13,2x2,,,PAL2,15+trans,color XOR flicker,,SAT 0x34. Color XOR 0x0E/frame. 16 hp in port.
B_entity,37,lead_bullet,pat 7,1x1 or 2x2,,,PAL2,15+trans,1,,SAT 0x1C color 0x8F. Upward. Type 42 converts into this.
B_entity,38,burst_fragment,pat 7,1x1 or 2x2,,,PAL2,15+trans,1,,SAT 0x1C. Umber-7 burst; box-4 drop. Type 43 converts into this.
B_entity,39,col_marker_or_compl,pat 17/23/25 / parent+offset,—,,,—,—,follows parent,,Type 39 is the complement/column-marker slot. On MD fold into parent sprite; no extra hardware sprite required.
B_entity,40,instant_despawn,pat —,—,,,—,—,none,,Handler = entity_clear. No art.
B_entity,41,pair_fragment,pat 7,1x1 or 2x2,,,PAL2,15+trans,1,,SAT 0x1C. Spawned by type 8.
B_entity,42,proto_bullet,pat 7 then type→37,—,,,—,—,transient,,No unique art.
B_entity,43,proto_fragment,pat 7 then type→38,—,,,—,—,transient,,No unique art.
B_entity,44,ground_structure,pat 16 + nametable tiles,2x2 overlay + BG tiles,,,PAL2/PAL3,15+trans / 16,1,,Sprite plane + complement 17. Also stamps tiles (place_tile_group). Draw both a sprite and BG greeble.
B_entity,45,light_bar_var,pat 6,2x1 or 2x2,,,PAL2,15+trans,1,,SAT 0x18 color 0x8F.
B_entity,46-55,ground_gun,pat 18,2x2,,,PAL2,15+trans,loga 2-frame set exists; handler uses 18,,SAT 0x48 = loga_A. 5 pair behaviours spawn type 38 or 21. Nametable-locked fallers.
B_entity,56,sig_single,pat 28,2x2,,,PAL1,15+trans,color flash XOR 0x09,,SAT 0x70. Falling pickup/missile.
B_entity,57,paired_descender_A,pat 27,2x2,,,PAL2,15+trans,1,,"SAT 0x6C. Sprite-names call pat 27 sig_double — same pixels, different role."
B_entity,58,paired_descender_B,pat 26,2x2,,,PAL2,15+trans,1,,SAT 0x68. Sprite-names: sig_triple.
B_entity,59,sideways,pat 28,2x2,,,PAL2,15+trans,1,,SAT 0x70 same as sig_single. Moves right.
B_entity,60,player_death_fx,pat 7/8/9,2x2 or 3x3,,,PAL1,15+trans,11 CONFIRMED,,Table 0x86F3 tick_rate=4. Invisible→lead→med→lg→med→lead. Slot 0. No motion.
B_entity,61,large_descender,pat 62,4x4,,,PAL2,15+trans,1 + 8-color cycle,,SAT 0xF8. Colors from 0x8EAF table (0x81/83/84/86/87/89/8A/8D). Sprite-names: sart.
B_entity,62,invisible_riser,pat 0,—,,,—,—,none,,No sprite. Trigger/effect entity.
B_entity,63,power_chip,pat 1 (likely),2x2,,,PAL1,15+trans,1,,Handler 0x78AF does not LD SAT name. Sprite-names + port objs frame 5 use pat 1. Pickup SFX event 0x17 = 23.
B_entity,64,proto_structure,pat 16 then type→44,—,,,—,—,transient,,"Cyan plane, becomes type 44."
B_entity,67,med_circle,pat 8,2x2,,,PAL2,15+trans,1,,SAT 0x20 color 0x86. 5 hp in port.
B_entity,68,proto_box,pat 53 then type→4,—,,,—,—,transient,,Spawns 3-box cluster via proto_box_type_table.
B_entity,69,base_projectile,pat 7,1x1 or 2x2,,,PAL2,15+trans,1,,"SAT 0x1E (pat 7, lower bits ignored). Initially transparent. From type 11."
B_entity,70-71,idol_totem,pat nametable (sprite unknown),BG 4x4 to 8x8 tiles,,,PAL3,16,—,,Nametable-locked. Destroy → type 72 orb. Type 71 smiling totem / type 70 plain. Port currently uses lg_circle as placeholder sprite.
B_entity,72,orb_core,pat 9 (anim 7/8/9),2x2,,,PAL1,15+trans,4+4 CONFIRMED,,"base_core_anim 0x8A16 phase1 (colors 0x8F/83/8A/8B) then 0x8A1E all 0x81 black. Yellow touch=kill-all, black=warp."
B_entity,73-79,base_segment,"pat 8 (probe, sat_col=0x00) + nametable",BG tiles; optional overlay,,,PAL3,16,unknown overlay,,"Nametable-locked base. HP from base_segment_table. Type 75 fires type-38 pairs. Probe: pat 8 transparent — visual is tiles, not the SAT."
B_entity,80,base_damage,pat unknown,—,,,—,—,unknown,,Handler calls base-encounter decrement. No SAT write documented.
B_entity,81/87-89,wide_structure,pat 9 likely / nametable,BG tiles + optional 2x2,,,PAL3,16,unknown,,Same handler group as 70/82. Type 82 is the fire-box (confirmed). Others are wide totems/structures.
B_entity,82,fire_box,pat nametable 4x4 + digit,BG 4x4 tiles,,,PAL3,16,1,,"Blue 4×4, digit = fire#. 4 hp → type 83. Not a warp totem."
B_entity,83,fire_upgrade,pat 1,2x2,,,PAL1,15+trans,1,,"SAT 0x04 color 0x81 black. Touch → fire_select(+0x1c). Same pattern as power chip, different color/role."
B_entity,84-86,wide_variant,pat unknown (joins 0x87AB),BG tiles,,,PAL3,16,unknown,,wide_struct_init then same as 70-group. Distinct pixels: unknown.
C,charset,charset,gfx_charset_bitmap 0x5EFC-0x64D2 | 256 tiles × 8 bytes = 2048 B bitmap + 256 × 8 color,256 MD 4bpp tiles (charset_tiles.bin = 8192 B = 256×32),,,PAL3 (2nd pal allowed),16,512-768,res/md/bg/,"Alphabet, digits, HUD labels, main terrain. Loaded into all 3 SCREEN2 banks identically. Port: VDP_loadTileData 256 tiles at TILE_USER_INDEX+32."
C,logo,logo,"gfx_logo_bitmap 0x5D2C-0x5EEF | 61 tiles (indices 176-236). 5 nametable rows, stride 25, up to 18 names/row. Color block decompresses to 29 entries.",Replace with a title tileset or a sprite logo,,,PAL0 or PAL3,16,64-128,res/md/bg/,Overwrites charset tiles 176-236 on MSX title. MD can keep logo in its own VRAM range. Title currently SGDK font only.
C,late_bg_a,late_bg_a,gfx_bg_late_bitmap_a 0x666F-0x6704 | 20 tiles into indices 23-42,"Dedicated late-stage tileset, do not overwrite font",,,PAL3,16,32-64,res/md/bg/,MSX overwrites charset slots 23-42 for last stages.
C,late_bg_b,late_bg_b,gfx_bg_late_bitmap_b 0x6705-0x68A8 | 67 tiles into indices 90-156,Dedicated late-stage tileset,,,PAL3,16,64-128,res/md/bg/,MSX overwrites charset slots 90-156. Color block B decompresses to 69 tiles.
C,tile_tables,tile_tables,0xA444-0xA653 | 22 columns × 24 rows of charset IDs (4+8+8+1+1),Reuse new BG tiles; columns still 24 tiles tall (plus 4 extra rows on 224px),,,PAL3,16,included in charset budget,res/md/bg/,"Primary 4 entries (stage&3), variant A/B 8 each (stage&7), two fixed columns. Fill IDs cluster 0x28/0x29 and 0x17-0x19 / 0x24-0x27."
C,column_greeble,column_greeble,"tile_column_data_region1/2 in map_blob 0x9B64-0xBE26 | variable-length columns of charset IDs, max 24 tiles","Same IDs into the new tileset, or a 2nd tileset if you exceed 256",,,PAL3 (or PAL0 for a 2nd pal),16,256-512 extra if split,res/md/bg/,Cmd 2/4/5/B streams. place_tile_group stamps idols/fire-boxes onto the nametable.
C,hud_font,hud_font,"charset digits 0x30+n, space 0x20 | No separate HUD glyph table. Labels: ALC TOP SCORE ZANAC LEVEL ROUND FIRE. PAUSE 5 bytes @0x4E40.",SGDK FONT_LEN=96 now; MAY replace with a 1bpp/4bpp HUD font (~64-96 tiles),,,PAL0,16,96,res/md/bg/,MSX HUD is in the nametable (right-panel border 14 rows from VRAM 0x3958). H40 has 8 extra tile-columns (64px) for a side HUD.
C,credits,credits,"credits_control_table 0x4775-0x4826 + strings 0x47AA | Length-prefixed ASCII: GAME DESIGN, PROGRAM, GRAPHICS, SOUND, DIRECTOR, JANUS, JEMINI, COMPILE, WAO, MOO, MIYAMOTO, YORIKI, THANKS, PAL, MUSIC, LUNARIAN",Same font as HUD or a credits tileset,,,PAL0,16,0 extra if font reused,res/md/bg/,"Centered pages, fire-to-cycle, ESC-to-title. Continues over scrolling BG."
